"Timecode","Content","Content_zh"
"00:00:22,399 --> 00:00:26,899","Schafer: It's mostly blank.","Schafer：大部分都還是空白。"
"00:00:26,899 --> 00:00:30,399","Schafer: Here's the Double Fine Adventure stuff.","Schafer：這邊是《Double Fine Adventure!》相關的東西。"
"00:00:30,399 --> 00:00:34,833","Let's see how far I got. Let's see.","來看看我寫到哪裡了。看看。"
"00:00:34,833 --> 00:00:37,399","It was interesting because I didn't have any ideas for the game.","這很有趣，因為我當時完全沒有遊戲點子。"
"00:00:37,399 --> 00:00:39,100","You know, I was just thinking what it was going to be about.","我只是一直在想，這遊戲到底是在講什麼。"
"00:00:39,100 --> 00:00:41,000","And on the first day I sat down and wrote.","第一天，我坐下來開始寫。"
"00:00:41,000 --> 00:00:42,666","There's nothing on the first page.","第一頁什麼都沒有。"
"00:00:42,666 --> 00:00:44,633","And then I write about the end of the second page.","然後差不多寫到第二頁末尾。"
"00:00:44,633 --> 00:00:48,633","The start of the third page, basically I had the idea of the entire game.","到第三頁開頭時，基本上整個遊戲的點子就出來了。"
"00:00:48,633 --> 00:01:20,466","[music] Schafer: March 13th.","[音樂] Schafer：3 月 13 日。"
"00:01:20,466 --> 00:01:22,766","Offscreen Voice: It's been exactly a month, actually.","畫外音：其實剛好過了一個月。"
"00:01:22,766 --> 00:01:24,433","Schafer: Oh, it's been exactly a month. What happened since then?","Schafer：喔，剛好一個月。那之後發生了什麼？"
"00:01:24,433 --> 00:01:27,433","Schafer: It's funny.","Schafer：這很好笑。"
"00:01:27,433 --> 00:01:31,666","I told people, everyone, a lot of people thought that we'd already had an idea for a game.","我跟大家說過，很多人以為我們已經有遊戲點子了。"
"00:01:31,666 --> 00:01:36,200","Dutton: I guess what we know about it, it's going to be 2-D and it's going to be kind of old school.","Dutton：我想目前知道的是，它會是 2D，而且會有點老派。"
"00:01:36,200 --> 00:01:41,466","Can you give us any other little tidbits about what you've got in store?","你能不能再透露一點接下來的內容？"
"00:01:41,466 --> 00:01:46,500","Schafer: I was just trying to think of a fake tidbit to give you, like it's all going to be about chinchillas.","Schafer：我正在想一個假的小消息可以給你，比如整款遊戲都在講栗鼠。"
"00:01:46,500 --> 00:01:48,000","Did I mention that? I mean, it's obvious.","我有提過嗎？我是說，這很明顯嘛。"
"00:01:48,000 --> 00:01:51,500","As soon as you said ""old school adventure"", it's going to be mostly chinchilla based, lot of fur tech.","你一說「老派冒險」，那當然主要會是栗鼠主題，還有很多毛髮技術。"
"00:01:51,500 --> 00:01:56,299","There's going to be a lot of nudity, super-violent.","會有很多裸露，超暴力。"
"00:01:56,299 --> 00:01:59,633","It's going to be the first actual snuff game.","它會是第一款真正的殺人實錄遊戲。"
"00:01:59,633 --> 00:02:02,133","I think that's pretty out, that was clear in the Kickstarter pitch.","我覺得這點已經講得很明白了，Kickstarter 提案裡說得很清楚。"
"00:02:02,133 --> 00:02:03,599","Dutton: Who are you going to kill?","Dutton：你要殺誰？"
"00:02:03,599 --> 00:02:05,033","Schafer: The team.","Schafer：團隊。"
"00:02:05,033 --> 00:02:06,900","Dutton: All of them? Ron, as well?","Dutton：全部嗎？Ron 也要？"
"00:02:06,900 --> 00:02:09,199","Schafer: Yeah. He's only half alive right now anyway.","Schafer：對。反正他現在也只剩半條命。"
"00:02:09,199 --> 00:02:12,766","A lot of people thought we had an idea for a game or a game all designed, ready to go.","很多人以為我們已經有遊戲點子，或是整款遊戲都設計好了，隨時能開工。"
"00:02:12,766 --> 00:02:14,400","And they're like, of course, they're not idiots.","他們會想，當然啊，他們又不是笨蛋。"
"00:02:14,400 --> 00:02:15,900","They're going to have something ready to go.","他們一定已經準備好東西了。"
"00:02:15,900 --> 00:02:17,099","And I was like, no.","但我心想，沒有。"
"00:02:17,099 --> 00:02:21,433","'Cause I want to do all this, like you know, we're going to document everything and start when the cameras are rolling.","因為我想做的就是這件事：我們要記錄所有過程，從攝影機開始拍的那一刻就開始。"
"00:02:21,433 --> 00:02:23,199","We're going to document the whole thing.","我們要記錄整件事。"
"00:02:23,199 --> 00:02:24,800","And so I didn't have an idea.","所以我當時沒有點子。"
"00:02:24,800 --> 00:02:29,966","And I was a little scared, except for, I think it's just because now I've been you know, doing this for a long time.","我有點害怕，不過我想，可能只是因為我做這行很久了。"
"00:02:29,966 --> 00:02:34,866","I have, you got a certain amount of faith that you will sit down and the ideas will come.","我有一種信心，相信只要坐下來，點子就會出現。"
"00:02:34,866 --> 00:02:39,366","Because they come if you just put enough time sitting down with the notebook, writing.","因為只要你花夠多時間，坐在筆記本前一直寫，點子就會來。"
"00:02:39,366 --> 00:02:40,733","Something will happen.","總會冒出點東西。"
"00:02:40,733 --> 00:02:42,699","And this is like the first entry in the notebook.","這大概是筆記本裡的第一篇。"
"00:02:42,699 --> 00:02:48,500","It's dated 3-15, which I think is the day, it's the day after it closed.","日期是 3 月 15 日，我想就是 Kickstarter 結束後的隔天。"
"00:02:49,400 --> 00:02:58,266","This morning I came in and this is like the first time I've I had a day after the Kick Starter ended.","今天早上我進來，這算是 Kickstarter 結束後，我第一次有一整天可以投入工作。"
"00:02:58,266 --> 00:03:02,366","So I thought I'd just actually get to work on this game that we're working on.","所以我想，我應該真的開始做我們這款遊戲了。"
"00:03:02,366 --> 00:03:06,233","So the first thing I do when I'm working on a game, is I start writing.","我開始做遊戲時的第一件事，就是開始寫。"
"00:03:06,233 --> 00:03:09,766","These are all my notebooks.","這些都是我的筆記本。"
"00:03:09,766 --> 00:03:14,233","I just started a new notebook and it's already covered with stickers.","我剛開了一本新筆記本，上面已經貼滿貼紙。"
"00:03:14,233 --> 00:03:17,233","And I start writing, so...","然後我開始寫，所以……"
"00:03:17,233 --> 00:03:24,000","And I sat down, and the first page is me thinking about a code name for the game.","我坐下來，第一頁是在想這款遊戲的代號。"
"00:03:24,000 --> 00:03:28,833","Then I'm talking about some girls in the sixth grade for some reason.","然後不知道為什麼，我開始寫六年級時的一些女生。"
"00:03:28,833 --> 00:03:31,933","And then I'm complaining about my memory problems.","接著我又在抱怨自己的記憶力問題。"
"00:03:31,933 --> 00:03:34,933","It's about like, the process of getting ideas out of your head.","這有點像是把腦袋裡的點子挖出來的過程。"
"00:03:34,933 --> 00:03:40,300","So when I'm really disciplined and on it, I will come in every morning and lock myself in my office","所以如果我真的很自律、很進入狀況，我每天早上會進來，把自己關在辦公室裡，"
"00:03:40,300 --> 00:03:43,166","and just do free writing.","然後做自由書寫。"
"00:03:43,166 --> 00:03:49,966","And free writing is something I actually learned in junior high school, but I started doing a lot in college","自由書寫其實是我國中學到的，但我到大學才開始大量使用，"
"00:03:49,966 --> 00:03:53,400","because it's the way of getting past that hump of like the blank page.","因為這是跨過空白頁那道坎的方法。"
"00:03:53,400 --> 00:03:55,366","It's kind of intimidating. Want me show you one?","還滿嚇人的。要我給你看一個嗎？"
"00:03:55,366 --> 00:03:56,666","Scary!","可怕！"
"00:03:56,666 --> 00:03:59,766","What do you put on here? Oh, god, you know.","這上面要寫什麼？喔，天啊，你懂的。"
"00:03:59,766 --> 00:04:03,500","And then, and then I'm like going over this list of old ideas, like what.","然後我就在翻這份舊點子清單，想說，這都什麼啊。"
"00:04:03,500 --> 00:04:07,633","And then I'm talking about whether I should hire this person, but then, because like, this is ,","然後我又寫到該不該雇用這個人，不過，因為這就是……"
"00:04:07,633 --> 00:04:09,400","this is where I sit down in the morning and I start writing.","這就是我早上坐下來開始寫的地方。"
"00:04:09,400 --> 00:04:12,266","And I have to keep writing. And that's why ridiculous things come out.","我得一直寫下去，所以才會冒出一堆莫名其妙的東西。"
"00:04:12,266 --> 00:04:16,033","And I started this morning for the first time on Double Fine Adventure.","今天早上，我第一次開始寫《Double Fine Adventure!》。"
"00:04:16,033 --> 00:04:18,733","Double Fine Adventure Adventure.","《Double Fine Adventure Adventure》。"
"00:04:18,733 --> 00:04:24,800","I don't even want to show you what I'm writing, because someone's going to like download it and be like, I've decoded the first notes.","我甚至不想給你看我寫了什麼，因為一定會有人下載下來，然後說，我破解了最初的筆記。"
"00:04:24,800 --> 00:04:26,733","And now I start talking about the game.","然後我開始談遊戲。"
"00:04:26,733 --> 00:04:30,433","And now I start thinking about, should I do this idea?","我開始想，我該做這個點子嗎？"
