"Timecode","Content","Content_zh"
"00:00:06,466 --> 00:00:28,953","[Music] Schafer: You know you got drunk when the next morning","[音樂] Schafer：你知道自己喝醉了，就是隔天早上"
"00:00:28,960 --> 00:00:31,860","you're just starting to think of things that you said, no.","才開始想起自己說過什麼。不是吧。"
"00:00:33,380 --> 00:00:36,973","I have this memory just walking down the street yelling and screaming the entire time.","我只記得自己一路走在街上，一直又喊又叫。"
"00:00:39,780 --> 00:00:41,740","Schafer: I love Chinatown.","Schafer：我愛唐人街。"
"00:00:42,880 --> 00:01:19,340","[Music] Schafer: Did you see how many pages I got done?","[音樂] Schafer：你有看到我寫完多少頁嗎？"
"00:01:20,520 --> 00:01:24,560","So far I've got actual writing.","目前我真的有寫出東西。"
"00:01:24,880 --> 00:01:27,580","This writing paid for by Kickstarter.","這些文字是 Kickstarter 出錢讓我寫的。"
"00:01:27,980 --> 00:01:30,760","So, it's a book. It's coming along. We came up with a code name.","所以，這是一本書。進展還不錯。我們也想出代號了。"
"00:01:30,800 --> 00:01:32,840","Do you want to ask questions or should I just start talking?","你們想問問題，還是我直接開始講？"
"00:01:33,760 --> 00:01:38,120","Rice: DF adventure. Budget.","Rice：DF adventure。預算。"
"00:01:39,340 --> 00:01:43,900","Schafer: Budget? We need that. We might not need that.","Schafer：預算？這個需要。這個可能不需要。"
"00:01:44,540 --> 00:01:45,880","I think we can have food.","我覺得吃的可以留。"
"00:01:46,320 --> 00:01:48,100","Launch event.","發表活動。"
"00:01:48,500 --> 00:01:50,033","I hate to cut the launch event.","我不太想砍掉發表活動。"
"00:01:50,060 --> 00:01:52,560","That much for PAX Prime really? Rice: Um hm.","PAX Prime 真的要花那麼多？Rice：嗯哼。"
"00:01:52,560 --> 00:01:55,494","Schafer: I mean that, we might not need that.","Schafer：我是說，這個我們可能不需要。"
"00:01:55,500 --> 00:02:00,300","Let's just say if we're being really bare bones on some of this stuff.","如果這些東西我們都用最精簡的方式來算。"
"00:02:00,300 --> 00:02:02,460","Rice: We're cutting so much stuff right now.","Rice：我們現在砍掉好多東西。"
"00:02:04,280 --> 00:02:06,079","Rice: Ah, it's the things that like...","Rice：唉，就是那些像是……"
"00:02:06,080 --> 00:02:08,080","Schafer: Greg thought of... Everything I thought of is in.","Schafer：Greg 想到的……我想到的全都留下。"
"00:02:08,080 --> 00:02:09,212","Everything Greg thought of is out.","Greg 想到的全砍掉。"
