"Timecode","Content","Content_zh"
"00:00:21,840 --> 00:00:23,900","Stapley: Yeah, that's pretty. Pretty colors.","Stapley：對，這很漂亮。顏色很美。"
"00:00:27,400 --> 00:00:29,320","Stapley: Yeah, I was looking at the end there.","Stapley：對，我剛剛在看最後那段。"
"00:00:29,980 --> 00:00:33,733","The 20th of September, October, November, December, January, February, March, April.","九月二十日，十月、十一月、十二月、一月、二月、三月、四月。"
"00:00:33,800 --> 00:00:35,800","So yeah, everything looks cool here.","所以對，這邊看起來都不錯。"
"00:00:36,200 --> 00:00:39,760","Yeah, those last three months right there seems like there's going to be a lot of changing.","對，最後那三個月看起來會有很多變動。"
"00:00:39,760 --> 00:00:44,060","[Laughs} From November to February looks a little crazy.","[笑聲] 從十一月到二月看起來有點瘋狂。"
"00:00:47,760 --> 00:00:52,000","Yeah man. It's going to be pretty nuts.","是啊，會很誇張。"
"00:00:52,240 --> 00:01:51,280","[Music] [quite fantasy music]","[音樂] [安靜的奇幻音樂]"
"00:01:53,920 --> 00:01:57,196","Petty: Well, then we need to come up with another plan because right now it's not possible.","Petty：那我們得想另一個計畫，因為現在這樣行不通。"
"00:01:57,200 --> 00:02:04,878","There's just not, one artist can't be the primary, like he's the, he's the, you know, like literally he's the renderer for every object in the game.","就是不可能，一個美術不能當主要負責人，像他就是，呃，等於遊戲裡每個物件都要由他來畫完。"
"00:02:04,880 --> 00:02:07,211","And do concept design on the schedule we have.","還要照我們的時程做概念設計。"
"00:02:07,211 --> 00:02:11,255","Schafer: I think if I hadn't been through the process before, I'd think the project was falling apart last month.","Schafer：我想如果我以前沒經歷過這個流程，我上個月大概會覺得專案快垮了。"
"00:02:11,255 --> 00:02:15,964","It definitely is a little bit of a tension as you switch gears and you're talking about practical matters.","當你要換個方向，開始談實際問題時，確實會有一點緊張。"
"00:02:15,964 --> 00:02:20,345","But it wasn't that tense, you know.","但其實沒有那麼緊張。"
"00:02:20,560 --> 00:02:25,102","Petty: For all the artists involved but certainly for Bagel, we're going to have make, you're going to have decide, I guess,","Petty：對所有參與的美術來說都是，但對 Bagel 特別是，我們得做出，或者說你得決定，"
"00:02:25,120 --> 00:02:29,120","which, what you want the hierarchy of his time to be spent on.","你希望他的時間優先花在哪些事情上。"
"00:02:29,240 --> 00:02:36,042","[Ambient sci-fi music] Schafer: I want him to come up with both the, you know,","[環境科幻音樂] Schafer：我希望他能同時想出，呃，"
"00:02:36,042 --> 00:02:42,750","that really just like content and then actual style, both.","也就是內容，還有實際的風格，兩者都要。"
"00:02:42,750 --> 00:02:45,704","Petty: There's other options there, that we talked about all those options.","Petty：還有其他選項，我們也都談過了。"
"00:02:45,704 --> 00:02:48,724","I don't think we've committed to one particular solution yet.","我不覺得我們已經決定要採用某一個特定方案。"
"00:02:48,724 --> 00:02:52,684","Rice: I think it's an ongoing conversation, so not really.","Rice：我覺得這還在持續討論，所以還沒有。"
"00:03:03,580 --> 00:03:08,768","Schafer: I mean yeah, we're doing, since we're doing a game that's like a different engine type than we've ever done before, it's like 2D.","Schafer：我是說，對，我們現在做的是一款引擎類型跟以前完全不同的遊戲，是 2D 的。"
"00:03:08,768 --> 00:03:16,220","A whole different engine, new devices we'd never worked on and an adventure game, which we would have never made a straight adventure game here at this company.","完全不同的引擎、我們從沒做過的新裝置，還有冒險遊戲。老實說，我們公司本來不會做純冒險遊戲。"
"00:03:16,220 --> 00:03:20,506","So we're doing so many new things with this project that we're just learning.","所以這個專案有太多新東西，我們都還在學。"
"00:03:20,506 --> 00:03:23,867","Every time we try to do something, we find out like that's not going to work.","每次我們試著做一件事，就會發現那樣行不通。"
"00:03:24,160 --> 00:03:27,233","We do have to, of course, correct and try different solutions.","我們當然得修正，再試不同的解法。"
"00:03:28,240 --> 00:03:30,920","But that's totally normal, expected.","但這很正常，也在預期之中。"
"00:03:30,920 --> 00:03:32,960","Offscreen Voice: Don't fuck with my wall.","畫外音：不要亂搞我的牆。"
"00:03:32,960 --> 00:03:37,240","Rice: But I mean, like a lot of it isn't like, there's a problem, we're fucked.","Rice：但我的意思是，很多狀況並不是「出問題了，我們完蛋了」。"
"00:03:37,247 --> 00:03:42,540","It's like we need to pay attention to this and try to start figuring out ways to make it work.","比較像是「我們得注意這件事，開始想辦法讓它可行」。"
"00:03:42,540 --> 00:03:47,323","And we started thinking about that and feeling more comfortable.","我們開始這樣思考之後，也比較安心了。"
"00:03:47,420 --> 00:03:50,927","Schafer: Well, we have, we brought on Levi and he's helping out.","Schafer：嗯，我們找了 Levi 加入，他正在幫忙。"
"00:03:50,940 --> 00:03:55,726","Rice: We have some new people, but like they're getting familiar with everything pretty quickly.","Rice：我們有一些新人，但他們很快就熟悉整個狀況了。"
"00:03:55,726 --> 00:03:58,301","Ryken: I was actually, on Friday I was looking at this.","Ryken：其實我週五有在看這個。"
"00:03:59,400 --> 00:04:00,080","Just getting inspired.","只是想找點靈感。"
"00:04:00,083 --> 00:04:02,383","This is the museum near Tokyo.","這是東京附近的博物館。"
"00:04:03,053 --> 00:04:06,853","It's super cool and I went there and I bought that there.","超酷的，我去過那裡，這個也是在那裡買的。"
