"Timecode","Content","Content_zh"
"00:00:23,223 --> 00:00:24,992","Brown: Good, a little more slowly.","Brown：很好，再慢一點。"
"00:00:24,992 --> 00:00:26,293","Technician: And, 115.","Technician：然後，115。"
"00:00:29,196 --> 00:00:30,731","Kaufman: Not quite.","Kaufman：還不太對。"
"00:00:30,731 --> 00:00:35,869","We won't activate the Omicron Inhibitor until we're ready to take the shields down.","等我們準備好解除護盾，才會啟動 Omicron Inhibitor。"
"00:00:35,869 --> 00:00:37,237","Brown: Mm!","Brown：嗯！"
"00:00:37,237 --> 00:00:38,705","Yes.","對。"
"00:00:38,705 --> 00:00:40,240","Sorry.","抱歉。"
"00:00:40,240 --> 00:00:42,509","I'm steppin' on you, but: Wow. Yum.","我插到你的話了，不過：哇，好讚。"
"00:00:42,509 --> 00:00:46,580","Schafer: ""Wow. Yum."" Brown: Dude, I love when--","Schafer：「哇，好讚。」Brown：老兄，我超愛那種……"
"00:00:46,580 --> 00:00:48,549","When they get it right, it's like, fuck.","他們一抓到感覺，就會讓人覺得，靠。"
"00:00:48,549 --> 00:00:50,150","Schafer: I want to eat your voice when you poop it out.","Schafer：你把聲音拉出來的時候，我想把它吃掉。"
"00:00:50,150 --> 00:00:51,451","Brown: It's the best.","Brown：那最棒了。"
"00:00:51,451 --> 00:00:53,253","Just fucking poopin' in my mouth.","就他媽直接拉到我嘴裡。"
"00:00:53,253 --> 00:00:55,055","I'm saying that just for you.","我是特地說給你聽的。"
"00:00:55,420 --> 00:01:23,417","[Music] McConnel: Um...","[音樂] McConnell：嗯……"
"00:01:23,417 --> 00:01:29,589","I just really like to... to be here whenever I can make it up the...hill.","只要我爬得上這座……山，我就很喜歡來這裡。"
"00:01:29,589 --> 00:01:33,794","It is a little reminiscent of the field that the girl starts out in, now, isn't it?","這裡有點像那個女孩一開始所在的田野，對吧？"
"00:01:33,794 --> 00:01:38,765","When I did that theme, um...we hadn't moved yet.","我寫那段主題時，嗯……我們還沒搬過來。"
"00:01:38,765 --> 00:01:45,639","Uh, so I sorta had to imagine that field and work to the picture, um...","所以我算是得一邊想像那片田野，一邊照著畫面創作。"
"00:01:45,639 --> 00:01:49,876","But you know, uh...","不過你知道……"
"00:01:49,876 --> 00:01:52,346","The idea of a...","那種……"
"00:01:52,346 --> 00:01:58,318","of a beautiful field with solitude that you can go to to just get away from everything","有一片漂亮又安靜的田野，可以讓你暫時遠離一切。"
"00:01:58,318 --> 00:02:02,556","and with a little village below is-is definitely, uh...","下面還有個小村莊，這確實……"
"00:02:02,556 --> 00:02:06,093","you know, definitely resonates.","確實很有共鳴。"
"00:02:06,093 --> 00:02:12,132","So maybe I...now that we're moving back to the girl's world, maybe it's time for me to take more of these walks.","所以也許……既然現在要回到女孩的世界，也許我該多出來這樣走走。"
"00:02:12,500 --> 00:02:48,802","[Music] Schafer: What is happening here?","[音樂] Schafer：這裡是怎麼回事？"
"00:02:48,802 --> 00:02:50,337","What has been going on?","最近都發生了什麼？"
"00:02:50,337 --> 00:02:54,107","I've been so isolated writing in here.","我一直關在這裡寫東西，完全與世隔絕。"
"00:02:54,107 --> 00:02:56,510","What else has been going on?","還發生了什麼？"
"00:02:56,510 --> 00:03:00,580","Every time I play the game, it's got new crazy stuff in it, which looks awesome.","我每次玩，都會看到新的瘋狂東西，而且看起來超棒。"
"00:03:00,580 --> 00:03:02,682","Franzke: So here's the start screen.","Franzke：這是開始畫面。"
"00:03:02,682 --> 00:03:09,589","And if I can basically linear blend into 8-bit mode and come out again and go back.","我基本上可以線性混合進 8-bit 模式，再切回來。"
"00:03:09,589 --> 00:03:13,460","And the game is actually full--fully playable.","而且遊戲其實已經完整可玩了。"
"00:03:13,460 --> 00:03:16,229","Schafer: I don't know. Oliver just snuck that in over the weekend.","Schafer：我也不知道。Oliver 週末偷偷把那個加進去了。"
"00:03:16,229 --> 00:03:19,299","He's like, ""Hey, hit this-- hit this key."" And I was like, ""Why?"" And I hit it.","他說：「嘿，按這個，按這個鍵。」我說：「為什麼？」然後就按了。"
"00:03:19,299 --> 00:03:21,101","It was like, pow, awesome.","結果砰一下，超棒。"
"00:03:21,101 --> 00:03:23,170","Franzke: Um...and there are a bunch of things that are happening.","Franzke：嗯……這裡其實做了很多事。"
"00:03:23,170 --> 00:03:27,340","I mean, obviously it's pixelated, but we're also, like, kind of compressing","顯然它會像素化，但我們也有點像是在壓縮"
"00:03:27,340 --> 00:03:29,009","the color range as well, like in the old days.","色彩範圍，像以前那樣。"
"00:03:29,009 --> 00:03:32,446","So we're kind of trying to emulate that you only have 256 colors.","所以我們是在模擬只有 256 色的感覺。"
"00:03:32,446 --> 00:03:36,149","Like, since the beginning of the project, I was like, well, you know, I really like the old-school games.","從專案一開始，我就想，我真的很喜歡老派遊戲。"
"00:03:36,149 --> 00:03:38,885","I like the pixelated art style that we had back then.","我喜歡以前那種像素美術風格。"
"00:03:38,885 --> 00:03:45,225","Um...and then I was like, well, I wonder if I can just, like, take the image and do some","然後我就在想，能不能直接拿畫面來做一些"
"00:03:45,225 --> 00:03:50,564","just shader work to it to, like, make it look like, you know, it's a game made in the '90s sometime,","shader 處理，讓它看起來像 90 年代某個時候做的遊戲，"
"00:03:50,564 --> 00:03:52,299","like a little bit 8-bit.","有點 8-bit 的感覺。"
"00:03:52,299 --> 00:03:54,768","Uh, and it works pretty well, actually.","而且實際效果還滿不錯的。"
"00:03:58,405 --> 00:04:01,374","So far it seems okay, actually.","目前看來還不錯"
"00:04:01,374 --> 00:04:03,176","I thought I would be way more stressed out.","我以為自己會緊張得多。"
"00:04:03,176 --> 00:04:07,481","So far it's okay, and probably, uh, when you do the-- when you can do the whole cutting thing,","目前還好。也許等你們剪片的時候，"
"00:04:07,481 --> 00:04:10,817","you can cut, like, you know, months in the future; I will be sitting here like, oh my God!","可以剪到幾個月後，我就會坐在這裡說：「我的天啊！」"
"00:04:10,817 --> 00:04:16,523","Schafer: And the team is bringing up the last parts of ""Act 1"" to alpha level.","Schafer：團隊正在把《第一幕》最後幾個部分推到 Alpha 水準。"
"00:04:16,523 --> 00:04:18,524","Um, starting work on the pyramid.","嗯，開始處理金字塔。"
"00:04:18,524 --> 00:04:22,229","There's a pyramid in the game that's getting brought to alpha this week,","遊戲裡有座金字塔，這週要做到 Alpha。"
"00:04:22,229 --> 00:04:24,231","and it's looking awesome.","看起來很棒"
"00:04:24,231 --> 00:04:28,301","Well, alpha is just that there's something rough in there representing everything.","Alpha 就是每個東西都有粗略的版本先放進去。"
"00:04:28,301 --> 00:04:32,305","There's like, mm-- all the assets are, like-- Something's in there taking a place for them.","所有資產都先有東西佔位。"
"00:04:32,305 --> 00:04:36,676","And then--and then you get them all workin' the way you want them to for beta.","然後到 Beta，你再讓它們照你想要的方式運作。"
"00:04:36,676 --> 00:04:41,148","And then after beta, you're hopefully just fixing bugs.","Beta 之後，希望就只是在修 bug。"
"00:04:41,148 --> 00:04:42,516","Way ahead of schedule.","進度超前很多。"
"00:04:42,516 --> 00:04:45,285","Rice: We're--we're good.","Rice：我們……我們沒問題。"
"00:04:45,285 --> 00:04:49,156","We're where I said we should be.","我們就在我說該到的位置。"
"00:04:49,156 --> 00:04:52,159","Schafer: Well, things move quick once you-- You know, you have certain deadlines.","Schafer：有些期限一出來，事情就會推得很快。"
"00:04:52,159 --> 00:04:57,197","Like, we wanted to get a bunch of, um, voice done so we could get a PAX trailer.","像是我們想先錄好一批配音，好做 PAX 預告片。"
"00:04:57,197 --> 00:05:01,301","And, um, also 'cause the animators are waiting for the voice to start--","還有，動畫師也在等配音才能開始……"
"00:05:01,301 --> 00:05:05,105","They haven't finished, like, a single scene in the game yet 'cause then you want the final voice in there.","他們還沒真正完成任何一場戲，因為要等正式配音放進去。"
"00:05:05,105 --> 00:05:09,709","So we wanna get that done, and once it starts rolling, it, um, it goes pretty quickly.","所以我們想把那件事完成，而一旦開始動起來，就會進展很快。"
"00:05:09,709 --> 00:05:13,346","Crook: You know, when they play, go through the playthroughs and stuff right now, sort of the animation","Crook：你知道，他們現在跑完整遊玩流程時，動畫常常"
"00:05:13,346 --> 00:05:16,383","is sort of the least polished, oftentimes.","是最不完整的部分。"
"00:05:16,383 --> 00:05:20,821","And, um, and so sometimes it's rough, like, to sit through playthroughs, you know,","所以有時候坐著看完整流程會有點難受，"
"00:05:20,821 --> 00:05:25,592","and-and know that the quality is not there yet just 'cause you haven't gotten to that phase.","因為你知道品質還沒到位，只是因為還沒進到那個階段。"
"00:05:25,592 --> 00:05:27,527","Schafer: Greg came in; he has a question for us.","Schafer：Greg 進來了，他有問題要問我們。"
"00:05:27,527 --> 00:05:29,129","Brown: Greg! Rice: Hi.","Brown：Greg！Rice：嗨。"
"00:05:29,129 --> 00:05:30,497","Brown: How are you doing?","Brown：你好嗎？"
"00:05:30,497 --> 00:05:32,732","Rice: I am doing well, how are you?","Rice：我很好，你好嗎？"
"00:05:32,732 --> 00:05:34,367","Brown: Hey, I'm good.","Brown：我很好"
"00:05:34,367 --> 00:05:40,540","Rice: Sweet. Um, no, I just, uh, I got an email from our new executive assistant","Rice：太好了。嗯，我剛收到新行政助理寄來的信，"
"00:05:40,540 --> 00:05:44,544","that was trying to set up Tim's flights, so I wanted to see how things were looking","她想安排 Tim 的班機，所以我想先看看狀況"
"00:05:44,544 --> 00:05:47,414","and if she should go ahead and do that.","確認她是不是可以繼續訂。"
"00:05:47,414 --> 00:05:56,289","Brown: So if each one of these characters has at least 80 lines to read, then, yes.","Brown：如果每個角色至少都有 80 句要錄，那就可以。"
"00:05:56,289 --> 00:05:58,458","Rice: I think we're gonna have enough written.","Rice：我想我們寫好的量會夠。"
"00:05:58,458 --> 00:06:01,595","Schafer: So that's a question for Malena or someone with access to the database.","Schafer：所以這要問 Malena，或是有資料庫權限的人。"
"00:06:01,595 --> 00:06:03,763","Rice: We can have Malena run that right now.","Rice：我們可以現在請 Malena 跑一下資料。"
"00:06:03,763 --> 00:06:05,432","Schafer: Okay. Today we're gonna start.","Schafer：好。今天我們要開始了。"
"00:06:05,432 --> 00:06:06,800","Please welcome Malena.","請歡迎 Malena。"
"00:06:06,800 --> 00:06:08,501","Malena Annable.","Malena Annable。"
"00:06:08,501 --> 00:06:10,170","Annable: I'm so happy to be here with you guys.","Annable：很高興能和大家在這裡。"
"00:06:10,170 --> 00:06:15,308","Schafer: Here in person. She's come through the magic of the screen to our world.","Schafer：而且是本人到場。她穿越螢幕的魔法，來到我們的世界。"
"00:06:15,308 --> 00:06:19,779","Just like the monsters in ""Pacific Rim."" She is a producer,","就像《Pacific Rim》裡的怪獸一樣。她是製作人，"
"00:06:19,779 --> 00:06:24,584","and she specializes in localization and things involving the dialogue database.","專門負責在地化，以及對話資料庫相關的事情。"
"00:06:24,584 --> 00:06:28,154","Um...even though she's up in Portland, she remotely tracks all that stuff","雖然她人在 Portland，但她會遠端追蹤這些東西，"
"00:06:28,154 --> 00:06:30,490","and she does localization for all of our games.","也負責我們所有遊戲的在地化。"
"00:06:30,490 --> 00:06:36,496","And, um, she is the one pushing on me for the writing deadline to get it into Khris' hands, 'cause it kinda goes,","她就是一直催我趕寫作期限，好把內容交到 Khris 手上的人。因為流程大概是，"
"00:06:36,496 --> 00:06:43,169","she gets the raw writing and puts it in the database, and, um, and gets the script all ready to hand off to Khris.","她拿到原始稿，把它放進資料庫，再把劇本整理好交給 Khris。"
"00:06:46,306 --> 00:06:48,008","That's a good question; why is she here?","這問題問得好，她為什麼會在這裡？"
"00:06:48,008 --> 00:06:49,809","Maybe she's up to something.","也許她有什麼盤算。"
"00:06:49,809 --> 00:06:52,746","Annable: Yeah, I wanna talk to you about more dialogue things and...","Annable：對，我想跟你談更多對話的事，還有……"
"00:06:52,746 --> 00:06:54,447","Schafer: I have to write more dialogue? Annable: Yeah, you do.","Schafer：我還得寫更多對話？Annable：對，沒錯。"
"00:06:54,447 --> 00:06:56,182","Schafer: God. Annable: You don't want me to write it.","Schafer：天啊。Annable：你不會想讓我寫的。"
"00:06:56,182 --> 00:06:57,884","Schafer: Gotta be done by now. It's gotta be done by now.","Schafer：現在應該要寫完了。現在應該要寫完了。"
"00:06:57,884 --> 00:07:01,254","Annable: So, yeah, so I'm-I'm busy with that all week.","Annable：所以對，我這整週都在忙這個。"
"00:07:01,254 --> 00:07:05,492","I'm happy to see everyone. Schafer: But if I write it this week, it'll screw up the schedule, 'cause...","很高興見到大家。Schafer：可是如果我這週才寫，會搞亂時程，因為……"
"00:07:06,626 --> 00:07:08,028","Okay.","好吧"
"00:07:08,028 --> 00:07:12,265","Annable: So I want Tim to write in the way that whatever feels most comfortable to him.","Annable：所以我希望 Tim 用他覺得最舒服的方式寫。"
"00:07:13,767 --> 00:07:16,269","And as fast as possible.","而且越快越好。"
"00:07:16,269 --> 00:07:21,474","Dialogue is so important to our games, so making sure that we have, like, a really strong system--","對話對我們的遊戲非常重要，所以要確保我們有一套很強的系統。"
"00:07:21,474 --> 00:07:26,546","I have--there's a dialogue database that Paul Du Bois built and it's amazing.","Paul Du Bois 做了一個對話資料庫，非常厲害。"
"00:07:26,546 --> 00:07:31,217","And it's just--for me, it's just management of, like, you know, tens of thousands of files.","對我來說，重點就是管理好幾萬個檔案。"
"00:07:31,217 --> 00:07:35,021","I mean, ""Brütal Legend,"" there are over 35,000 lines of dialogue,","像《Brütal Legend》就有三萬五千多句對話，"
"00:07:35,021 --> 00:07:37,223","and I had to manage that across five languages.","而且我要管理五種語言的版本。"
"00:07:37,223 --> 00:07:40,727","And...it wasn't that bad.","而且…… 也不算太糟"
"00:07:42,429 --> 00:07:48,635","Rice: But, yeah, we could have Malena check out current status of lines per character.","Rice：不過對，我們可以請 Malena 查一下目前每個角色有多少句台詞。"
"00:07:48,635 --> 00:07:54,074","And so if that happens, you think, um, like, casting-wise we'll be ready?","如果是這樣，你覺得選角方面會準備好了嗎？"
"00:07:54,074 --> 00:07:58,044","Brown: Um, I think we will. I think we're, like-- I think by the end of this meeting","Brown：嗯，我想會。我想這場會議結束前，"
"00:07:58,044 --> 00:08:02,716","we will know who we're gonna choose for everything, and then it'll be me calling and checking avails","我們就會知道每個角色要選誰，接著我會打電話確認"
"00:08:02,716 --> 00:08:04,417","on them all for next week.","他們下週有沒有空。"
"00:08:04,417 --> 00:08:05,852","Schafer: And then a lot of our friends are coming back.","Schafer：而且很多老朋友會回來。"
"00:08:05,852 --> 00:08:08,989","Richard Horvitz, the voice of Raz, is gonna be doing some voices.","Raz 的配音 Richard Horvitz 會來配幾個聲音。"
"00:08:08,989 --> 00:08:13,193","And Jennifer Hale, um, from ""Brütal Legend"" and ""Mass Effect,"" is gonna be--","還有《Brütal Legend》和《Mass Effect》的 Jennifer Hale 會……"
"00:08:13,193 --> 00:08:18,565","Yes, Shepard is gonna be doing, uh, I think the Mom computer.","對，Shepard 應該會配媽媽電腦。"
"00:08:18,565 --> 00:08:23,436","Um...and that's all we have to announce right now as far as voice, but that's very exciting stuff.","配音方面目前能公布的就這些，但真的很令人興奮。"
"00:08:23,436 --> 00:08:28,007","Get that all wrapped up so we'll actually have something that we can put into the game and show at PAX.","把這些都搞定後，我們才真的有東西能放進遊戲，拿去 PAX 展示。"
"00:08:28,007 --> 00:08:29,442","This weekend?","這個週末？"
"00:08:29,442 --> 00:08:31,444","This weekend, oh my God, it's coming up so soon.","這週末，我的天，快到了"
"00:08:31,444 --> 00:08:36,383","We're flying down to LA to record the voice for the game, at least a third of it.","我們要飛去洛杉磯錄遊戲配音，至少錄三分之一。"
"00:08:36,383 --> 00:08:38,585","It's a third of the voice for the game.","是遊戲配音的三分之一。"
"00:08:38,585 --> 00:08:43,256","And we've got some, um, interesting people coming down to do voice.","而且有一些很有意思的人要來配音。"
"00:08:43,256 --> 00:08:47,460","Some old friends, some hopefully new friends.","有些是老朋友，有些希望會成為新朋友。"
"00:08:47,460 --> 00:08:50,997","We'll be locked in a room together, me and Khris Brown, for four days.","我和 Khris Brown 會一起被關在房間裡四天。"
"00:08:50,997 --> 00:09:08,548","[Music] Horvitz: There is no room in the Space Weaver's life for friendship.","[音樂] Horvitz：Space Weaver 的生命中沒有友情的位置。"
"00:09:08,548 --> 00:09:13,820","Brown: Aww... Horvitz: He slides alone, like a shuttle of yarn across the warp of time","Brown：喔……Horvitz：他孤獨滑行，像毛線梭穿越時間的經緯，"
"00:09:13,820 --> 00:09:18,158","on an ever so--shortening-- Schafer: Fucked that up.","在一條越來越……短的……Schafer：搞砸了。"
"00:09:18,158 --> 00:09:20,026","How can you fuck that up?","你怎麼會把那個搞砸？"
"00:09:20,026 --> 00:09:21,494","You totally fucked that up.","你完全搞砸了。"
"00:09:21,494 --> 00:09:22,695","Horvitz: I love that!","Horvitz：我喜歡！"
"00:09:22,695 --> 00:09:23,997","That is so fucking good.","真他媽好極了"
"00:09:23,997 --> 00:09:25,165","All right. Here we go.","好吧 好了"
"00:09:25,165 --> 00:09:27,700","Schafer: It's kinda like he's Pee Wee, rebel, loner.","Schafer：他有點像 Pee Wee，叛逆、孤僻。"
"00:09:27,700 --> 00:09:28,835","Technician: And, 24.","Technician：然後，24。"
"00:09:28,835 --> 00:09:32,605","Horvitz: Look, see, see, look at this, look at this island in front right here, see?","Horvitz：看，看，看，看，看這個，看前面的這個島，看到嗎？"
"00:09:32,605 --> 00:09:34,374","And it's just like this hairline's receding.","就像這條發線在退縮"
"00:09:34,374 --> 00:09:35,442","I can't stand it.","我受不了"
"00:09:35,442 --> 00:09:36,543","Brown: Really? Schafer: Lice check? Lice check?","Brown：真的？ 蝨子檢查？ 蝨子檢查？"
"00:09:36,543 --> 00:09:38,044","Brown: It looks good. Horvitz: No, not...","Brown：看起來不錯 不，不是……"
"00:09:38,044 --> 00:09:39,646","Brown: Tim, you have lice.","Brown：蒂姆 你有蝨子"
"00:09:39,646 --> 00:09:41,514","We have never cast a game this quickly.","我們從來沒有這麼快完成一款遊戲的選角。"
"00:09:41,514 --> 00:09:45,351","Um, and we have never cast a game with, um, a budget this limited.","也從來沒有在這麼有限的預算下替遊戲選角。"
"00:09:45,351 --> 00:09:49,089","I mean, it-- with the exception of, you know, with ""Day of the Tentacle,"" you have, like,","除了《Day of the Tentacle》那種，大概只有"
"00:09:49,089 --> 00:09:50,690","1,500 lines, you know what I mean?","1500 句台詞，你懂嗎？"
"00:09:50,690 --> 00:09:54,394","But even then, I think, um...","但即使那樣，我想……"
"00:09:54,394 --> 00:09:59,065","I think we probably spent more money on ""Day of the Tentacle."" That's Tim, who started the company,","我們在《Day of the Tentacle》上花的錢可能還更多。Tim 創辦了這家公司，"
"00:09:59,065 --> 00:10:02,769","and he was one of the chief game designers at LucasArts, working on, like, ""Monkey Island""","也是 LucasArts 的主要遊戲設計師之一，做過《Monkey Island》"
"00:10:02,769 --> 00:10:06,372","and kind of this whole, um, set or series of games","以及那一整批、一整系列"
"00:10:06,372 --> 00:10:08,842","that people feel really strongly about.","讓大家非常有感情的遊戲。"
"00:10:08,842 --> 00:10:12,312","They have a really strong emotional connection to those games, and then we've continued...","人們和那些遊戲有很深的情感連結，而我們後來也延續了……"
