"Timecode","Content","Content_zh"
"00:00:35,040 --> 00:00:36,180","Schafer: Mmm, my new notebook.","Schafer：嗯，我的新筆記本。"
"00:00:36,180 --> 00:00:38,575","did you notice I brought my old and my new notebooks?","你有注意到我帶了舊筆記本和新筆記本嗎？"
"00:00:39,395 --> 00:00:41,663","Can you believe I filled this up?","你敢相信我把這本寫滿了嗎？"
"00:00:41,663 --> 00:00:46,287","Remember? This old notebook.","記得嗎？這本舊筆記本。"
"00:00:46,287 --> 00:00:47,682","It's all full.","全部都寫滿了。"
"00:00:47,682 --> 00:00:50,921","Now there's the design for the last shot in the game.","現在裡面有遊戲最後一幕的設計。"
"00:00:50,921 --> 00:00:53,239","Can't show you, you guys always use those.","不能給你們看，你們老是會拿那些畫面去用。"
"00:00:53,239 --> 00:00:54,400","So yeah, this is the new notebook.","所以對，這是新的筆記本。"
"00:00:54,400 --> 00:01:01,996","And this is kind of a disaster first, because this, I didn't notice until I started it, it's wide ruled, instead of college rule.","一開始有點災難，因為我開始用才發現，這是寬行距，不是大學行距。"
"00:01:01,996 --> 00:01:03,736","And this game is definitely college level.","而這款遊戲絕對是大學程度的。"
"00:01:03,736 --> 00:01:10,024","But I decided actually this will make me feel like we got a lot more work done, 'cause my free writing will fill up more pages.","不過我後來覺得這樣其實會讓我感覺我們做了更多事，因為我隨手寫寫就會寫滿更多頁。"
"00:01:10,024 --> 00:01:13,733","Yeah, I purposely got white so it'd feel pristine and fresh.","對，我特地買白色，這樣感覺很乾淨、很新。"
"00:01:13,733 --> 00:01:17,345","It's smaller This is like totally like a baby notebook.","它比較小，這根本像嬰兒筆記本。"
"00:01:17,345 --> 00:01:19,968","It does! It makes me look stupid, doesn't it?","真的！它讓我看起來很蠢，對吧？"
"00:01:19,968 --> 00:01:23,849","But then again, I'm getting older so it's hard to see stuff.","但話說回來，我年紀大了，東西也越來越看不清楚。"
"00:01:23,849 --> 00:01:25,149","New notebook.","新筆記本。"
"00:01:26,593 --> 00:01:55,112","[Music] Schafer: Yeah. Let's talk about stuff.","[音樂] Schafer：對，來聊點事情吧。"
"00:01:55,112 --> 00:01:56,629","We shipped Red's last week.","我們上週推出了 Red’s。"
"00:01:56,629 --> 00:01:58,120","I don't know if you guys noticed that, we shipped a game.","不知道你們有沒有注意到，我們推出了一款遊戲。"
"00:01:58,120 --> 00:01:59,180","It was awesome.","超棒的。"
"00:01:59,180 --> 00:02:00,040","Yay, Red's.","耶，Red’s。"
"00:02:00,040 --> 00:02:08,283","[Applause] It has, it has, it has made about $800,000 so far on the old Steam thing,","[掌聲] 到目前為止，它在老 Steam 上大概賺了 80 萬美元，"
"00:02:08,692 --> 00:02:09,772","which is fun.","這還挺有趣的。"
"00:02:11,708 --> 00:02:17,582","And that's not a big enough number that we're going to be immediately completely independent of publishers this year,","但這個數字還沒有大到讓我們今年馬上完全不靠發行商，"
"00:02:17,582 --> 00:02:20,169","like was a secret, back of my head kind of hope.","雖然我心底偷偷有那麼一點希望。"
"00:02:20,169 --> 00:02:22,371","Where all my hopes are in the back of my head.","我的所有希望都藏在腦後。"
"00:02:22,371 --> 00:02:30,439","It's a little, it's a little tricky financially because, pretty much, you know, I think conservatively we would estimate that","財務上有點、有點棘手，因為基本上，我想保守估計的話，"
"00:02:30,439 --> 00:02:33,234","we've made most of the money that we're going to make off of it.","我們已經賺到它大部分能賺的錢了。"
"00:02:33,234 --> 00:02:35,905","We might make more when we release Part Two, but it's not going to be equal.","等我們推出第二幕時可能還會再賺一些，但不會一樣多。"
"00:02:35,905 --> 00:02:38,341","It's not going to be like the equal amount of sales.","不會是同樣等級的銷量。"
"00:02:38,341 --> 00:02:45,930","So we're working on something that is, we're usually working on something like, oh, when this, when we release it, it'll make a bunch of money for us","所以我們現在做的東西，通常會是那種，喔，等我們推出後，它會替我們賺一大筆錢，"
"00:02:45,930 --> 00:02:51,621","and that'll pay for more stuff and so we already got, or kind of got that money in advance twice.","那筆錢可以拿來做更多東西；可是這次那筆錢我們已經算是提前拿過兩次了。"
"00:02:51,621 --> 00:02:55,230","Offscreen Voice: So you're making a bigger, more complex game that you know isn't going to sell as well?","畫外音：所以你們正在做一款更大、更複雜，而且明知道賣得不會一樣好的遊戲？"
"00:02:55,230 --> 00:03:00,185","Schafer: Yeah. Yep. Just from love.","Schafer：對。沒錯。純粹出於愛。"
"00:03:00,185 --> 00:03:01,616","This time it's just for love.","這次真的只是為了愛。"
"00:03:01,616 --> 00:03:03,919","That's our slogan.","那就是我們的標語。"
"00:03:03,919 --> 00:03:07,019","The money is gone, now we're just running on love.","錢沒了，現在我們只靠愛在撐。"
"00:03:07,019 --> 00:03:12,345","No, I mean, the first part made enough money.","不是啦，我是說，第一幕賺的錢夠了。"
"00:03:12,345 --> 00:03:13,879","It definitely made its numbers.","它確實達標了。"
"00:03:13,879 --> 00:03:20,761","I mean, it was, we went through these phases of like let's, let's estimate, you know, conservatively, because it's an adventure game","我是說，我們經歷過幾個階段，像是，來吧，我們保守估計一下，因為這是冒險遊戲，"
"00:03:20,761 --> 00:03:25,539","and you know, we had a conservative estimate for it, how much it would sell.","所以我們對它會賣多少有一個保守估計。"
"00:03:25,539 --> 00:03:29,316","Schafer: Everyone think in your head, how many units this game is going to sell.","Schafer：大家在心裡想一下，這款遊戲會賣出多少套。"
"00:03:29,316 --> 00:03:30,940","How many do you think it's going to sell?","你覺得會賣多少？"
"00:03:30,940 --> 00:03:31,933","Rice: A million.","Rice：一百萬。"
"00:03:31,933 --> 00:03:33,185","Schafer: A million?","Schafer：一百萬？"
"00:03:33,185 --> 00:03:34,665","How many you think's going to sell?","你覺得會賣多少？"
"00:03:34,665 --> 00:03:38,616","Bailey: 150,000 year one.","Bailey：第一年十五萬。"
"00:03:38,616 --> 00:03:39,763","Schafer: What do you say?","Schafer：你覺得呢？"
"00:03:39,763 --> 00:03:42,956","Stamos: I was going to say 200, but I was thinking more lifetime.","Stamos：我本來想說二十萬，但我想的是整個生命週期。"
"00:03:42,956 --> 00:03:47,221","Schafer: So let's say it was 300.","Schafer：那就先假設是三十萬吧。"
"00:03:47,221 --> 00:03:53,363","And then somewhere along the line we got really excited about people's response to it and excited by the game itself and how much we liked it.","然後到某個時候，我們對大家的反應變得很興奮，也對遊戲本身和我們有多喜歡它感到興奮。"
"00:03:53,363 --> 00:03:59,837","And you can see this, you know, part of us were like, hey now, if this does really, really well, it might change a lot of stuff for us.","你們也看得出來，我們有一部分會想，欸，如果它真的賣得非常非常好，可能會替我們改變很多事。"
"00:03:59,837 --> 00:04:06,904","Stoddard: A lot of people here kind of hang on because like, they know, they know Tim, they know, they know the management,","Stoddard：這裡很多人會撐著，是因為他們認識 Tim，認識管理層，"
"00:04:06,904 --> 00:04:11,059","they know the vision and if it hits, it'll, it'll be really good.","也知道那個願景。如果成功了，就會真的很棒。"
"00:04:11,059 --> 00:04:12,029","It'll be really good.","真的會很棒。"
"00:04:12,029 --> 00:04:15,831","So we're just hanging in.","所以我們就繼續撐著。"
"00:04:15,831 --> 00:04:17,451","Schafer: And you could see that in like Camden.","Schafer：你在 Camden 那邊也看得到這點。"
"00:04:17,451 --> 00:04:20,683","I think Camden was like a lot of people were, kind of hoping for it.","我覺得 Camden 當時很多人都有點在期待這件事。"
"00:04:20,683 --> 00:04:21,995","And it didn't sell that much.","但它沒有賣那麼多。"
"00:04:21,995 --> 00:04:25,138","It didn't sell so much that it changed our whole business plan for the year.","沒有賣到足以改變我們今年整個商業計畫。"
"00:04:25,138 --> 00:04:27,750","It sold what we kind of estimated originally.","它賣得大概就是我們一開始估的數字。"
"00:04:27,750 --> 00:04:31,491","Schafer: So far it's made about 1.6 million dollars on Steam, which is awesome.","Schafer：到目前為止，它在 Steam 上大概賺了 160 萬美元，這很棒。"
"00:04:31,491 --> 00:04:36,465","And it's, by, that's about 70,000 people purchased it; about 80,000 were the backers.","其中大概有 7 萬人購買；另外大概 8 萬人是贊助者。"
"00:04:36,465 --> 00:04:39,048","So that's about 150,000 units out there.","所以市面上大概有 15 萬套。"
"00:04:39,048 --> 00:04:42,566","Schafer: And so that's, I don't want be too sad about it [inaudible 00:04:41].","Schafer：所以我也不想太難過，[聽不清 00:04:41]。"
"00:04:42,566 --> 00:04:47,965","Just a little part of me was like, what if, you know, it's always part of you that hopes what if something really,","只是我心裡有一小部分會想，如果呢？你知道，人總會有一部分希望，萬一真的有什麼，"
"00:04:47,965 --> 00:04:52,601","like a big, you know, outlier thing is just crazy, hits.","像是很大的、很誇張的意外爆紅發生呢？"
"00:04:52,601 --> 00:04:54,723","It just unexpectedly, like our Kickstarter.","就像我們的 Kickstarter 那樣突然發生。"
"00:04:54,723 --> 00:05:00,001","Once you have an experience like that, it's hard to go back to the normal world where things sell what you expect them to.","一旦有過那種經驗，就很難回到正常世界，接受東西只會賣到你預期的數字。"
"00:05:00,001 --> 00:05:05,461","Bailey: One thing I am a little interested in, I'm not, not sure, is that, you know, we just don't have, we're not doing any marketing.","Bailey：有一件事我有點感興趣，也還不太確定，就是我們其實沒有做什麼行銷。"
"00:05:05,461 --> 00:05:08,014","We're not spending any money on marketing.","我們沒有花錢做行銷。"
"00:05:08,014 --> 00:05:13,311","And one thing I'm just looking at is to get around that, you know, we do a lot of press presence, a lot of social media.","我現在在看的其中一件事，就是為了彌補這點，我們做了很多媒體曝光、很多社群媒體。"
"00:05:13,311 --> 00:05:19,607","We rely upon features on the distributors, in this case with Steam and Valve.","我們仰賴通路商的推薦位置，這次就是 Steam 和 Valve。"
"00:05:19,607 --> 00:05:23,502","But it's like what, how much does banner ads help?","但問題是，橫幅廣告到底有多大幫助？"
