"Timecode","Content","Content_zh"
"00:00:21,980 --> 00:00:44,006","[Piano plays Mozart's Piano Sonata No 11] McConnell: This is the first music I remember in my life, hearing.","[鋼琴演奏莫札特第 11 號鋼琴奏鳴曲] McConnell：這是我人生中有記憶以來，第一次聽到的音樂。"
"00:00:44,244 --> 00:01:02,780","[Music] McConnell: So it's the Swiss side of me there.","[音樂] McConnell：所以這就是我瑞士血統的那一面。"
"00:01:05,379 --> 00:01:10,557","It's just really great to be able to sit down and play something without turning it on.","能坐下來，不用開機就演奏一樣東西，真的很棒。。"
"00:01:12,220 --> 00:01:13,607","Makes music.","它會發出音樂。"
"00:01:14,338 --> 00:01:42,380","[Music] Hansen: I get really nervous around cameras, it's my thing.","[音樂] Hansen：我在鏡頭前會很緊張，這是我的問題。"
"00:01:45,340 --> 00:01:46,300","All right.","好吧"
"00:01:47,620 --> 00:01:49,360","Hansen: Yeah, Shellmount first pass.","Hansen：對， Shellmound 第一版。"
"00:01:49,360 --> 00:01:50,960","Dead Eye God first pass.","Dead Eye God 第一版。"
"00:01:51,960 --> 00:01:53,460","Lumberjack first pass.","伐木工第一版。"
"00:01:53,700 --> 00:01:55,340","Localization QA starts.","在地化 QA 開始。"
"00:01:57,520 --> 00:01:59,140","Rice: Live instrument recording.","Rice：現場樂器錄音。"
"00:02:00,540 --> 00:02:02,580","Liu: Yeah, VO play-testing and testing.","Liu：對， VO 試玩測試和測試。"
"00:02:02,640 --> 00:02:03,700","Rice: This is the big one.","Rice：這是最大的一個。"
"00:02:06,900 --> 00:02:08,400","Liu: Oh, you're putting it in all caps?","Liu：喔，你要全部用大寫？"
"00:02:08,620 --> 00:02:12,160","Rice: Of course. There it is.","Rice：當然 找到了"
"00:02:30,780 --> 00:02:33,819","Schafer: Do you want to talk about schedule stuff before we begin the meeting?","Schafer：你想在我們開會前談一下時程嗎？"
"00:02:33,819 --> 00:02:35,599","Rice: Sure. Very exciting stuff.","Rice：好 非常刺激的事"
"00:02:35,600 --> 00:02:38,340","Schafer: Greg's got exciting schedule stuff to talk about.","Schafer：Greg 有很刺激的時程"
"00:02:39,380 --> 00:02:43,660","Rice: OK. Well, today's end of a sprint, right?","Rice：好，今天是一個 sprint 的結尾，對吧？"
"00:02:43,660 --> 00:02:47,900","So we should talk about this in light of that.","所以我們應該在這個前提下談。"
"00:02:47,900 --> 00:02:56,206","But yeah, Matt and Sue and I have been working on schedule stuff for the project for a while now.","是的，Matt 和 Sue 和我 已經做了一陣子計劃的時程了"
"00:02:56,206 --> 00:02:59,126","So we have a lot of data that I guess we'd talked through.","所以我們有很多資料 我想我們談過了"
"00:03:00,120 --> 00:03:06,940","But I guess first we should probably just walk through how all this stuff happened, to explain where we came from.","但我想我們應該先把整件事怎麼走到這裡講一遍，解釋一下來龍去脈。"
"00:03:07,240 --> 00:03:16,213","Bailey: And the thought is, is that we potentially have scope-wise, enough content for a game to ship sooner rather than later.","Bailey：想法是，以範圍來看，我們可能已經有足夠內容，可以讓遊戲早點推出。"
"00:03:17,100 --> 00:03:20,300","Schafer: January for Part One and April for Part Two.","Schafer：第一部一月，第二部四月。"
"00:03:21,100 --> 00:03:25,480","Schafer: As long as it's definitely just Part One and you're definitely going to get Part Two.","Schafer：只要這真的只是第一部，而且你確定之後會拿到第二部。"
"00:03:25,760 --> 00:03:29,507","It's not just, because I hated the end of Empire.","這不是單純因為我討厭《帝國大反擊》的結尾。"
"00:03:29,580 --> 00:03:32,720","I mean, when I was a kid and they ended that way, I was like what the fuck?","我是說，我小時候看到那樣收尾，心想這他媽什麼鬼？"
"00:03:33,580 --> 00:03:34,860","Rice: So that's how we got to this.","Rice：所以我們就是這樣走到這一步的。"
"00:03:35,500 --> 00:03:39,780","So this is kind of where that is for Part One right now and then there's also Part Two down here.","所以這大概就是第一部目前的狀況，下面也有第二部。"
"00:03:40,380 --> 00:03:49,380","But it kind of gives you a good snapshot as far as what the next year would look like to hit that January date.","不過這能讓你很清楚看到，為了趕上一月日期，接下來一年大概會長什麼樣子。"
"00:03:49,660 --> 00:03:54,220","Schafer: And even this is pretty scary when you look at just two weeks, total for Dead Eye God Pyramid.","Schafer：光看 Dead Eye God Pyramid 總共只有兩週，這就已經很可怕了。"
"00:03:54,220 --> 00:03:58,174","Like us all together working on that and banging that whole room out.","像是我們所有人一起做那段，把整個房間趕出來。"
