"Timecode","Content","Content_zh"
"00:00:00,440 --> 00:00:24,840","[Music] Petty: So I can double-check that he put everything up.","[音樂] Petty：這樣我就能再確認他有把東西都放上去。"
"00:00:25,380 --> 00:00:30,660","The rest of them, I'm going to scan them all, yeah, so we can have them.","剩下的我都會掃描起來，對，這樣我們就有檔案了。"
"00:00:30,660 --> 00:00:32,560","We have a, you know, our concept art directory.","我們有一個概念美術資料夾。"
"00:00:32,560 --> 00:00:41,640","You know, in theory if all the puzzles were done and the things were decided on, we could actually make a pretty functional game with really rough art early on","理論上，如果所有謎題都完成、事情也都決定好了，我們其實很早就能用很粗略的美術做出功能相當完整的遊戲，"
"00:00:41,640 --> 00:00:45,966","to sort of unblock the puzzle design or implementation.","讓謎題設計或實作不要卡住。"
"00:00:45,966 --> 00:00:49,054","And some of the systems work, which would be nice.","而且部分系統也能運作，那會很不錯。"
"00:00:49,060 --> 00:00:49,838","I'm not sure.","我不確定。"
"00:00:49,840 --> 00:00:53,580","I'm a big fan of working that way, but I'm not sure if we'll be able to do it for this project or not.","我很喜歡那種工作方式，但不確定這個專案能不能這樣做。"
"00:00:53,580 --> 00:00:56,800","We'll have to see how that works out.","只能再看看會怎麼發展。"
"00:01:04,340 --> 00:01:32,316","[Music] Rice: Yep.","[音樂] Rice：對。"
"00:01:32,320 --> 00:01:36,317","If you're always showing this board, won't they get spoilers from the board?","如果你們一直拍這塊板子，他們不會從板子上被劇透嗎？"
"00:01:36,320 --> 00:01:41,300","So just to bring us up to date, I need another location for the cloud nest.","所以先更新一下進度，我還需要另一個雲巢地點。"
"00:01:41,300 --> 00:01:43,360","Things that came up from the art jam.","這些是 art jam 裡冒出來的東西。"
"00:01:43,880 --> 00:01:45,580","Cloud nests.","雲巢。"
"00:01:45,840 --> 00:01:48,160","Rice: You can tell that that's going to look awesome.","Rice：你看得出來那會很棒。"
"00:01:49,060 --> 00:01:51,120","Schafer: The first thing Peter mentioned, too.","Schafer：這也是 Peter 第一個提到的東西。"
"00:01:51,820 --> 00:01:53,680","Rice: Yeah, I think he drew that the first day.","Rice：對，我記得他第一天就畫了那個。"
"00:01:57,000 --> 00:01:59,980","Schafer: And then the other one is the dead-eye pyramid.","Schafer：然後另一個是死眼金字塔。"
"00:02:02,020 --> 00:02:03,440","Rice: Why is it dead-eye?","Rice：為什麼叫死眼？"
"00:02:04,560 --> 00:02:06,860","Schafer: Spoiler. Can't tell you.","Schafer：劇透，不能告訴你。"
"00:02:07,400 --> 00:02:09,760","Rice: I have to play the game to find out?","Rice：我得玩遊戲才會知道嗎？"
"00:02:13,960 --> 00:02:18,940","Schafer: These things all still work but maybe this becomes his story.","Schafer：這些東西都還能用，但也許這會變成他的故事。"
"00:02:19,320 --> 00:02:22,580","The monster lands move over here.","怪物之地移到這邊。"
"00:02:23,300 --> 00:02:25,160","Maybe that moves over there.","也許那個移到那邊。"
"00:02:25,720 --> 00:02:34,840","Rice: What I still am not clear on is, and I don't know if you are, is switching back and forth between these stories","Rice：我還是不太清楚，不知道你是不是清楚，就是這兩條故事之間要怎麼來回切換，"
"00:02:35,060 --> 00:02:36,460","and how we're going to handle that.","以及我們要怎麼處理。"
"00:02:36,700 --> 00:02:37,780","Schafer: Yeah.","Schafer：對。"
"00:02:38,540 --> 00:02:39,840","I'm putting that off.","我先把那個擱著。"
"00:02:39,840 --> 00:02:42,102","Rice: Yeah. Start thinking about it.","Rice：對，該開始想了。"
"00:02:42,260 --> 00:02:47,913","So I'm just wondering then, like if I'm here, here and here and I jump back to this, then what's the world like?","所以我就在想，如果我在這裡、這裡和這裡，然後跳回這個，那這個世界會是什麼狀態？"
"00:02:47,920 --> 00:02:54,220","Like why can't I do this and what happens that makes me so I can do this?","像是我為什麼不能這麼做？又發生了什麼，讓我可以這麼做？"
"00:02:55,400 --> 00:02:57,680","Schafer: I don't know. I don't know yet.","Schafer：我不知道，還不知道。"
"00:03:00,760 --> 00:03:02,420","Schafer: I've been a little behind.","Schafer：我有點落後了。"
"00:03:02,420 --> 00:03:09,663","It's frustrating because I, when the team is waiting for you, that's always frustrating, so.","這很讓人挫折，因為當整個團隊都在等你的時候，總是很挫折，所以……"
"00:03:09,663 --> 00:03:10,463","It's always been that way.","一直都是這樣。"
"00:03:10,463 --> 00:03:16,080","Like having an absolutely terrifying deadline is the only thing that, makes me get it done.","好像只有那種可怕到不行的期限，才會逼我把事情做完。"
"00:03:16,420 --> 00:03:24,007","There's just so many other things going on with the company right now that, you know, The Cave is getting to this point where it needs, you know,","公司現在還有太多其他事情在進行，像《The Cave》也到了需要……"
"00:03:24,007 --> 00:03:26,047","it has a dialogue deadline of its own.","它也有自己的對白期限。"
"00:03:26,047 --> 00:03:30,227","You know, and do I help with that or do I work on this game?","所以我是要幫那邊，還是繼續做這款遊戲？"
"00:03:31,560 --> 00:03:32,480","Suck it!","吃我的啦！"
"00:03:32,480 --> 00:03:48,943","[Monster Roar] Schafer: Peter McConnell's here today.","[怪物吼聲] Schafer：Peter McConnell 今天來了。"
"00:03:48,943 --> 00:03:51,034","It's fun to see what he's going to add to it.","很期待看他會加進什麼東西。"
"00:03:51,040 --> 00:03:52,480","Schafer: So the game.","Schafer：所以這款遊戲。"
"00:03:52,480 --> 00:03:53,460","You see, we did some art already.","你看，我們已經做了一些美術。"
"00:03:53,460 --> 00:03:59,234","We had art jam with Peter Chan and Scott Campbell and Nathan came to town and hung out with Lee, and did some art.","我們和 Peter Chan、Scott Campbell 辦了 art jam，Nathan 也來城裡跟 Lee 一起做了一些美術。"
"00:03:59,360 --> 00:04:00,140","And that's cool.","那很酷。"
"00:04:00,140 --> 00:04:01,445","And that corkboard is kind of up-to-date.","那塊軟木板也算是更新過了。"
"00:04:01,445 --> 00:04:07,111","I could add some as we talk, but we're doing a point and click graphic adventure.","我們邊聊我可以邊補一些上去，但我們做的是點擊式圖像冒險遊戲。"
"00:04:07,120 --> 00:04:10,560","I don't know if you heard that. McConnell: Very cool.","不知道你有沒有聽說。McConnell：很酷。"
"00:04:11,160 --> 00:04:15,249","Schafer: So it doesn't have a high concept in terms of like a heavy metal fantasy world or the Day of the Dead.","Schafer：所以它沒有那種很明確的高概念，像重金屬奇幻世界或亡靈節之類的。"
"00:04:15,249 --> 00:04:19,386","It's really like a new world that we're making up based on Nathan Stapley's art.","它比較像是我們根據 Nathan Stapley 的美術創造出來的新世界。"
"00:04:19,386 --> 00:04:26,500","You know, just having that cool look and having it be about themes that are different, maybe than other themes.","就是有那種很酷的視覺，主題也會跟其他東西不太一樣。"
"00:04:26,500 --> 00:04:28,161","McConnell: Yeah. I've got questions.","McConnell：嗯，我有問題。"
"00:04:28,960 --> 00:04:31,736","Schafer: There'll be no questions during this meeting.","Schafer：這場會議禁止提問。"
"00:04:31,900 --> 00:04:35,160","Schafer: Is Peter McConnell excited to be on the project?","Schafer：Peter McConnell 對加入這個專案興奮嗎？"
"00:04:35,160 --> 00:04:37,397","You're asking me if he's excited?","你是在問我他興不興奮嗎？"
"00:04:37,500 --> 00:04:38,321","I think so.","我想是吧。"
"00:04:38,321 --> 00:04:39,441","We always enjoyed working together.","我們一直很喜歡一起工作。"
"00:04:39,441 --> 00:04:44,521","You know, he's worked on everything I've done since Day of the Tentacle, Monkey II, Monkey II.","從《Day of the Tentacle》、《Monkey Island 2》開始，我做過的東西他幾乎都有參與。"
"00:04:44,521 --> 00:04:45,701","Offscreen Voice: He's like your Danny Elfman.","畫外音：他就像你的 Danny Elfman。"
"00:04:45,701 --> 00:04:46,521","Schafer: He's what?","Schafer：他像什麼？"
"00:04:46,521 --> 00:04:47,572","Offscreen Voice: He's like your Danny Elfman.","畫外音：他就像你的 Danny Elfman。"
