"Timecode","Content","Content_zh"
"00:00:27,680 --> 00:00:28,480","Rice: Whoa!","Rice：哇！"
"00:00:29,380 --> 00:00:30,460","You must have just been off it?","你剛剛是不是沒跟上？"
"00:00:35,980 --> 00:00:38,460","Remember how buggy all of this used to be?","還記得這些以前有多少 bug 嗎？"
"00:00:41,080 --> 00:00:42,300","Those were the days.","真懷念啊。"
"00:00:43,180 --> 00:01:12,549","[Music] Schafer: And Act One of our game is now Alpha, which is exciting.","[音樂] Schafer：我們遊戲的第一幕現在進入 Alpha 了，滿令人興奮的。"
"00:01:12,640 --> 00:01:13,700","And, whoo!","呼！"
"00:01:14,970 --> 00:01:17,910","And Nathan ""Bagel"" Stapley is here in town for two weeks.","Nathan「Bagel」Stapley 會在這裡待兩個星期。"
"00:01:17,910 --> 00:01:19,910","There he is, Mr. Stapley, Bagel Stapley.","人在那邊，Stapley 先生，Bagel Stapley。"
"00:01:23,840 --> 00:01:24,900","They recognize you by your hats.","大家都是靠帽子認出你的。"
"00:01:24,900 --> 00:01:25,916","Stapley: Thank you very much.","Stapley：非常謝謝。"
"00:01:26,080 --> 00:01:28,482","Schafer: Yeah. No one can still pull off trucker hats except for you.","Schafer：對。除了你，沒人還能戴卡車司機帽戴得這麼好。"
"00:01:29,320 --> 00:01:33,540","It's awesome. And wait, why are you here, Bagel? To paint?","太棒了。等等，Bagel，你為什麼在這裡？來畫圖嗎？"
"00:01:33,540 --> 00:01:35,765","Stapley: Oh, yeah. Talk about Beta.","Stapley：喔，對。來談 Beta。"
"00:01:35,920 --> 00:01:37,920","Schafer: Beta. Stapley: Polishing and Beta-ing.","Schafer：Beta。Stapley：打磨，還有準備進 Beta。"
"00:01:38,860 --> 00:01:45,419","Schafer: Awesome. And we, yeah, we finished our last one week sprint, which was finish up Act One as far as Alpha-ing goes.","Schafer：太好了。我們剛完成最後一週的衝刺，也就是把第一幕收尾到 Alpha。"
"00:01:45,420 --> 00:01:50,200","And then we're starting on some final polish for some things in Beta.","接著我們要開始做 Beta 的最後打磨。"
"00:01:50,780 --> 00:01:51,720","But it's looking good.","不過看起來不錯。"
"00:02:07,000 --> 00:02:09,246","Gardner: And the family starts getting a little nervous.","Gardner：家人開始有點緊張。"
"00:02:09,979 --> 00:02:12,800","And then we have this like big dramatic like...","然後會有一個很大的戲劇性……"
"00:02:14,620 --> 00:02:19,518","Lee: Dave you were saying to me earlier you think we needed a separate scene for that little shot there?","Lee：Dave，你剛剛跟我說，這個小鏡頭是不是需要獨立場景？"
"00:02:19,520 --> 00:02:21,089","Gardner: This background, yeah.","Gardner：這個背景，對。"
"00:02:21,089 --> 00:02:21,906","That's a separate.","那要另外做。"
"00:02:21,906 --> 00:02:23,526","And I have a spot in mind for you to put that.","而且我已經想到可以放在哪裡了。"
"00:02:23,526 --> 00:02:24,881","Schafer: Holy shit!","Schafer：靠！"
"00:02:24,881 --> 00:02:29,282","Gardner: So here's her, there'd be like a shadow coming over her and she's starting to get scared.","Gardner：所以她在這裡，會有一道陰影罩住她，她開始害怕。"
"00:02:29,600 --> 00:02:34,162","Now like I think what would be really cool is like for that sequence to kind of be quiet.","我覺得這段如果有點安靜會很酷。"
"00:02:34,162 --> 00:02:38,546","And then when we cut to her, she gets excited and the crowd is like, whoa!","然後切到她時，她興奮起來，群眾就會，哇！"
"00:02:38,546 --> 00:02:39,666","Like it's Mog Chothra!","是 Mog Chothra！"
"00:02:39,666 --> 00:02:45,611","So like, and we'd cut to like the threshing ocean and like the dripping and the effects are all totally going crazy here.","所以我們會切到翻騰的海面，還有滴水，特效在這裡整個爆開。"
"00:02:45,620 --> 00:02:52,380","Schafer: Blue whale falls off of it Gardner: And the crowd is just like totally, there's going to be the laser eye goes bshhhh, and like shines on her.","Schafer：藍鯨從上面掉下來。Gardner：群眾整個沸騰，雷射眼咻地掃過來，照在她身上。"
"00:02:52,380 --> 00:02:54,617","And that'll be a pulsating laser shot.","那會是一道脈動的雷射光。"
"00:02:54,620 --> 00:02:59,700","And she starts kind of like going ooh, like I like the way it's dancing off my skin,","她開始有點「喔」，覺得光在皮膚上跳動的樣子很棒，"
"00:02:59,700 --> 00:03:01,877","the color, you know, like she starts getting really excited about it.","那個顏色，她開始對這件事很興奮。"
"00:03:01,880 --> 00:03:06,100","Like, and then we do the shot where the tentacle comes in.","然後我們拍觸手伸進來的鏡頭。"
"00:03:06,100 --> 00:03:08,910","That's a little long; I'll cut that down and then smash!","那有點長，我會剪短，然後啪！"
"00:03:08,910 --> 00:03:13,509","What do you think if I did, look, here he is, without the, without her even being onscreen.","如果我這樣做呢？你看，他在這裡，甚至不用讓她入鏡。"
"00:03:13,509 --> 00:03:14,189","It could be cool.","可能會很酷。"
"00:03:14,189 --> 00:03:16,409","Schafer: We could even start with her and like cut to that during the line.","Schafer：我們甚至可以從她開始，然後在那句台詞時切過去。"
"00:03:17,260 --> 00:03:20,220","Here could be like, look, he's so majestic, even more than we were told.","這裡可以是：「看，他好威嚴，比大家說的還威嚴。」"
"00:03:20,220 --> 00:03:21,180","Gardner: Yeah, that's perfect.","Gardner：對，完美。"
