"Timecode","Content","Content_zh"
"00:00:35,402 --> 00:00:37,704","Schafer: Hi, guys. How's it going?","Schafer：大家好，最近怎麼樣？"
"00:00:37,704 --> 00:00:39,406","This is the last one of these we'll ever do?","這是我們最後一次做這個了嗎？"
"00:00:39,406 --> 00:00:40,607","Offscreen: Yeah.","畫外音：是啊。"
"00:00:40,607 --> 00:00:45,546","Schafer: Seems like only yesterday I was saying all that stuff, sitting in this chair","Schafer：感覺才像昨天，我還坐在這張椅子上講那些話，"
"00:00:45,546 --> 00:00:48,248","that I can't remember now, 'cause it's been so long ago.","但我現在都不記得了，因為已經太久了。"
"00:00:48,248 --> 00:00:50,550","Offscreen: Mm-hmm, we talked about that initial budget in that chair.","畫外音：嗯哼，我們就是在那張椅子上聊到最初的預算。"
"00:00:50,550 --> 00:00:52,552","Schafer: Don't bring that up.","Schafer：別提那個。"
"00:00:52,760 --> 00:01:00,594","[Laughter] Yeah, it's just-- it's this one,","[笑聲] 對，就是……就是這個，"
"00:01:00,594 --> 00:01:02,296","and then it's, ahh!","然後就是，啊！"
"00:01:03,200 --> 00:01:30,590","[Music] Schafer: Tonight, we are going to have a bonfire down at the beach","[音樂] Schafer：今晚我們要到海灘生營火，"
"00:01:30,590 --> 00:01:34,461","to celebrate the completion of ""Broken Age,"" everybody.","慶祝《Broken Age》完成了，各位。"
"00:01:34,461 --> 00:01:37,164","[Applause] Yay!","[掌聲] 耶！"
"00:01:37,164 --> 00:01:38,532","Teamwork!","團隊合作！"
"00:01:38,532 --> 00:01:41,368","It started out like a really fun idea, and then it got really hard.","一開始是個很有趣的點子，後來就變得超難。"
"00:01:41,368 --> 00:01:45,505","And a bunch of people wussed out, but a lot of people stuck around to the end.","有一堆人撐不下去，但很多人一路撐到了最後。"
"00:01:45,505 --> 00:01:52,079","I wanna thank you, thank you to the whole team, and thank you everybody.","我想謝謝大家，謝謝整個團隊，也謝謝所有人。"
"00:01:52,079 --> 00:01:53,513","We're done!","我們完成了！"
"00:01:53,513 --> 00:01:57,851","Like, we went to the beach, we had that party, things got a little out of control.","我們去了海灘，辦了派對，場面有點失控。"
"00:01:57,851 --> 00:02:02,856","[Yelling] And it's fun, it's fun 'cause it's, like,","[叫喊聲] 這很好玩，因為就像……"
"00:02:02,856 --> 00:02:04,591","not fixing things right at the last minute.","不是到最後一刻才在修東西。"
"00:02:04,591 --> 00:02:09,997","We kinda had it done in advance a little bit, at least for-- for me and us.","我們算是有提前一點完成，至少對我、對我們來說是這樣。"
"00:02:09,997 --> 00:02:11,732","Like, it was, um, wrapped and submitted.","就是，嗯，已經封版並送審了。"
"00:02:11,732 --> 00:02:15,202","Like, we had to submit for the disc version, and that kind of actually-- it was tough,","我們得送出光碟版，那其實……那很辛苦，"
"00:02:15,202 --> 00:02:19,272","but it forced us to have a lot of stuff done before the, um, actual launch date,","但也逼我們在真正的發行日前先完成很多東西，"
"00:02:19,272 --> 00:02:22,442","'cause we had to have that version burnt to disc.","因為我們得把那個版本燒成光碟。"
"00:02:22,442 --> 00:02:28,448","And so, um...we had to time to kind of, like...","所以，嗯……我們有時間稍微……"
"00:02:28,448 --> 00:02:30,584","adjust to the thought of it being over.","適應它真的結束了這件事。"
"00:02:30,584 --> 00:02:33,420","Um, so, Reds is done and it's awesome.","嗯，所以 Reds 完成了，而且超棒。"
"00:02:33,420 --> 00:02:35,656","The end.","全劇終。"
"00:02:35,656 --> 00:02:36,556","Rice: It's done?","Rice：搞定了？"
"00:02:36,556 --> 00:02:37,591","Oh my God.","我的天啊。"
"00:02:37,591 --> 00:02:39,593","That's kinda sad.","這還滿令人難過的。"
"00:02:39,593 --> 00:02:44,765","We sent review keys out to press for ""Broken Age,"" so there's already, like, 10 or so folks","我們已經把《Broken Age》的評測序號寄給媒體了，所以已經有大概十個人"
"00:02:44,765 --> 00:02:46,767","that are playing for review.","正在玩評測版。"
"00:02:46,767 --> 00:02:50,570","With the amount of time that it's taken and the amount of things that have happened","花了很多時間 發生了很多事"
"00:02:50,570 --> 00:02:53,840","in the last three years is, uh, staggering.","過去三年發生了這麼多事，真的很驚人。"
"00:02:53,840 --> 00:02:59,312","And, um, it was nice to see everyone care enough to push for a final product","而且，嗯，看到大家都這麼在乎，願意努力把成品推到最後，"
"00:02:59,312 --> 00:03:01,448","that could be something we're proud of.","做成一個我們能引以為傲的東西，感覺很好。"
"00:03:01,448 --> 00:03:04,718","Crook: Um, so yeah, it just, um, it kind of all came together at the end.","Crook：嗯，所以對，最後一切算是都兜起來了。"
"00:03:04,718 --> 00:03:09,022","Um...so I feel good right now.","嗯……所以我現在感覺很好。"
"00:03:09,022 --> 00:03:10,724","Offscreen: You feel good about it? Crook: Yeah.","畫外音：你對它感覺不錯？Crook：對。"
"00:03:10,724 --> 00:03:14,661","I think it's beautiful, and something that we should be proud of.","我覺得這很美 我們應該以之為榮"
"00:03:14,661 --> 00:03:17,064","Uh, I think people are gonna really like it.","我想人們會很喜歡的"
"00:03:17,064 --> 00:03:19,332","Russell: Yes, we're finished.","Russell：對，我們完成了。"
"00:03:19,332 --> 00:03:21,301","See, I knew it would happen.","我就知道會這樣"
"00:03:21,301 --> 00:03:25,672","And after 13, 14 years here, you know stuff's gonna get done,","在這裡待了十三、十四年之後，你就知道事情總會做完，"
"00:03:25,672 --> 00:03:28,575","and it'll be great in the end.","最後會很棒的"
"00:03:28,575 --> 00:03:30,277","It'll be all worth it.","一切都會值得的。"
"00:03:30,277 --> 00:03:32,646","Schafer: Rusty. Russell: I'm playin' through and fixin' bugs.","Schafer：Rusty。Russell：我在玩一輪，順便修 bug。"
