"Timecode","Content","Content_zh"
"00:00:34,579 --> 00:00:35,924","Ray: It'll be all right, Tim.","Ray：沒事的，Tim。"
"00:00:35,924 --> 00:00:37,084","Hansen: It's all right. We'll figure this out.","Hansen：沒事的，我們會想辦法。"
"00:00:39,343 --> 00:00:40,648","Tim: Are you saying I shouldn't do it?","Tim：你是說我不該這麼做嗎？"
"00:00:40,648 --> 00:00:42,242","Hansen: Don't do it. Don't do it.","Hansen：不要，不要。"
"00:00:42,242 --> 00:00:43,603","Ray: We'll make it work.","Ray：我們會讓它行得通。"
"00:00:43,603 --> 00:00:47,414","Tim: You're just mad because if I did this it would not solve the problem for you guys.","Tim：你只是氣我這麼做，也解決不了你們的問題。"
"00:00:47,414 --> 00:00:49,811","Hansen: It just makes it worse actually. Ray: Yeah.","Hansen：其實只會讓事情更糟。Ray：對。"
"00:00:49,811 --> 00:00:52,135","Hansen: That's right. It makes it easier for you.","Hansen：沒錯。只是讓你比較輕鬆。"
"00:00:52,135 --> 00:00:56,555","Ray: There're still pickup lines that haven't been written, aren't there?","Ray：還有一些補錄台詞沒寫，對吧？"
"00:00:57,506 --> 00:01:26,207","[Music] Tim: I really am trying everything to make sure the game comes out this year.","[音樂] Tim：我真的什麼方法都試了，就是想確保遊戲今年能推出。"
"00:01:26,207 --> 00:01:28,767","Ray: December. What are we in, October, November?","Ray：十二月。我們現在是十月還十一月？"
"00:01:28,767 --> 00:01:30,083","Yeah, I know that's not gonna happen.","對，我知道那不可能。"
"00:01:30,083 --> 00:01:31,013","Tim: I gotta finish.","Tim：我得把它寫完。"
"00:01:31,013 --> 00:01:35,740","I'm so close to being done with the dialogue for the game which would be a huge milestone in my life","我快寫完遊戲對白了，這會是我人生的一大里程碑，"
"00:01:35,748 --> 00:01:37,868","because all I can think about is the dialogue for this game.","因為我滿腦子都只有這款遊戲的對白。"
"00:01:37,868 --> 00:01:38,937","There's a lot of dialogue in this game.","這遊戲的對白真的很多。"
"00:01:39,380 --> 00:01:40,740","Okay, we're gonna start.","好，我們要開始了。"
"00:01:42,460 --> 00:01:44,800","Weeklies, here we are, back on the project.","週會，我們又回到這個專案了。"
"00:01:44,800 --> 00:01:46,492","Hey, guess what. I finished all the dialogue for the game.","嘿，你們猜怎麼了。我把遊戲的所有對白都寫完了。"
"00:01:46,500 --> 00:01:48,260","It's awesome. Yay!","太棒了。耶！"
"00:01:48,260 --> 00:01:50,572","[Clapping] That's a relief.","[掌聲] 終於鬆了一口氣。"
"00:01:50,572 --> 00:01:51,272","Crook: Finally.","Crook：終於。"
"00:01:51,280 --> 00:01:53,795","Schafer: Well, I mean you didn't have to put it that way, but yeah, yeah, finally.","Schafer：呃，你也不用講成那樣，不過對，對，終於。"
"00:01:53,795 --> 00:01:54,875","Crook: Someone had to say it!","Crook：總得有人說出口！"
"00:01:57,133 --> 00:02:01,736","I know I was going on my calendar today and there's a big recurring appointment for Reds writing and I went and I deleted it.","我今天看行事曆，上面有一個 Red’s 寫作的定期行程，然後我就把它刪掉了。"
"00:02:02,433 --> 00:02:04,125","Oh, my God, this is exciting.","天啊，這太令人興奮了。"
"00:02:04,125 --> 00:02:05,299","I'm never gonna write again.","我再也不寫東西了。"
"00:02:05,299 --> 00:02:07,079","Never write again. Never write again.","再也不寫了。再也不寫了。"
"00:02:07,079 --> 00:02:11,678","So actually I'm playing through the game right now and I'm making notes of what dialogue I need to write.","其實我現在正在跑一遍遊戲，順便記下還需要寫哪些對白。"
"00:02:13,160 --> 00:02:14,420","Other than that I'm totally done.","除此之外我就真的全寫完了。"
"00:02:14,820 --> 00:02:24,105","[Music] And then Tim nobly finished the last of the dialogue","[音樂] 然後 Tim 英勇地完成了最後的對白，"
