"Timecode","Content","Content_zh"
"00:00:31,291 --> 00:00:34,904","Rice: Last week was, I think, the Kickstarter update went out.","Rice：上星期應該是 Kickstarter 更新發出去了。"
"00:00:34,904 --> 00:00:41,505","So that went over really well and there's a lot of comments about how we all looked really sad in that episode.","反應很好，而且很多留言都說我們在那集看起來很難過。"
"00:00:41,505 --> 00:00:43,693","Schafer: Cheer up, you guys!","Schafer：振作點！"
"00:00:43,693 --> 00:00:49,398","Petty: There were a couple random cuts of me going; that had nothing to do with what was being said.","Petty：有幾個隨機剪到我這樣的畫面，跟當時在講什麼完全無關。"
"00:00:49,398 --> 00:00:53,343","Rice: It just meant that a lot of people came out of the woodwork that were like, don't be sad, we love the game.","Rice：結果就是很多平常沒出聲的人都跑出來說：不要難過，我們很喜歡這款遊戲。"
"00:00:53,343 --> 00:00:54,466","And don't listen to the haters.","不要理那些酸民。"
"00:00:54,466 --> 00:00:56,879","Kipnis: Wait, wait. Can you send this link to us?","Kipnis：等等，可以把連結傳給我們嗎？"
"00:00:56,879 --> 00:01:00,697","Rice: Yeah. If you looked at forum threads, the main forum threads.","Rice：可以。如果你去看論壇串，尤其是主要的論壇串。"
"00:01:00,697 --> 00:01:02,897","Schafer: What did you do last week?","Schafer：你上週做了什麼？"
"00:01:02,897 --> 00:01:08,221","Fish: Face it, baby. You're hooked on me.","Fish：認了吧，寶貝。你已經被我釣上了。"
"00:01:08,221 --> 00:01:11,060","It's even funnier in the game, you guys.","各位，這在遊戲裡更好笑。"
"00:01:11,060 --> 00:01:13,387","Rice: Spoiler. Schafer: Spoilers.","Rice：劇透。Schafer：劇透。"
"00:01:13,387 --> 00:01:42,004","[Music] Schafer: I really am trying everything to make sure the game comes out this year.","[音樂] Schafer：我真的什麼都試了，就是想確保遊戲今年能推出。"
"00:01:42,004 --> 00:01:46,610","Rice: It's just going in knowing that that would mean like doing whatever it takes to make that happen.","Rice：只是我們一開始就知道，這代表得不惜一切讓它成真。"
"00:01:46,610 --> 00:01:49,014","And sacrificing in some ways.","某些地方也得做出犧牲。"
"00:01:49,014 --> 00:01:50,411","Schafer: I think we can do December.","Schafer：我覺得十二月可以。"
"00:01:50,411 --> 00:01:52,331","To me, it's like an infinity far away.","對我來說，那遠得像無限遠。"
"00:01:52,331 --> 00:01:53,895","Schafer: There's like backer expectations.","Schafer：有贊助者的期待。"
"00:01:53,895 --> 00:01:55,725","There is a financial.","也有財務面的壓力。"
"00:01:55,725 --> 00:01:58,186","And for me, just the possibility of actually being up for awards.","對我來說，還有真的能角逐獎項的可能。"
"00:01:58,186 --> 00:02:03,496","It's really just the best game that we can make and we feel like we can actually make without crashing the company into the ground.","重點其實是做出我們能做的最好遊戲，而且不要把公司拖垮。"
"00:02:03,496 --> 00:02:08,787","Rice: And so I guess on the screen right now is the current timeline for production on Act Two.","Rice：所以現在螢幕上的是第二幕目前的製作時程。"
"00:02:08,787 --> 00:02:13,828","This is what we're working towards and this was the attempt to get to a December launch.","這是我們正在努力達成的目標，也就是嘗試在十二月推出。"
"00:02:13,828 --> 00:02:24,600","So like even this is stuff that is a real challenge and a lot of people feel, on the team, it's going to take everything, everyone firing like on all cylinders.","光是這樣就已經很有挑戰，團隊很多人都覺得得全力以赴，每個人都火力全開。"
"00:02:24,600 --> 00:02:27,530","Everything falling into the right places.","每件事都得剛好到位。"
"00:02:27,530 --> 00:02:29,800","But seems doable with a push.","但如果衝一波，看起來做得到。"
